,Other Sale Comps,,,,,,,,,,,
,Id,CAP Rate,Seller Name,Buyer Name,Street Address,City,Submarket,Land (ACS),SF,Sales Price (Total),Closing Date,Notes
,111,5%,Nations Roof,Bleecker Partners ,2914 Lawing LN,Rowlett,Rowlett,3.17AC,"22,500","$2,000,000 ",9/2/2025,
,112,5.50%,High Street Logistics,TBD,1651-1671 Hickory Dr,Haltom City ,East Fort Worth,2.7,"51,012","$7,243,704 ",7/1/2025,Price is in the $140's. $142 is not confirmed. 
,113,NA,Cohen Asset Management ,Cano Electric,7400 Whitehall,Richland Hills ,East Fort Worth,1.06,"22,375","$3,590,00",7/6/2023,$160/sf
,114,N/A,Collinsworth Capital Group,"Woodhaus, Inc.",1417 Upfield,Carrollton,Valwood,1.02,"22,910","$3,618,191 ($157.93)",9/10/2025,Fully Leased but Tenant wanted out.  Group is going to occupy.  Non sprinklered building
,,,,,,,,,,,,
,115,6.5,Cooper General Contractor,Private Investment (Doctor),"2560 Technology Drive, Plano 75074 ",Plano,Plano,2.34,"17,500","4,637,500 ($265/sf)",Sep-25,Just closed last week. 6.5 cap?
,116,7.5 (Stabilized ),Curtis Steel Metals,Ambient,1204 Avenue T,Grand Prairie,Upper GSW,2.8 Acres,"40,556",5.5M (($135 SF) Ask was 6M,Jul-25,"Metal Building, JM Priddy was broker on the deal "
,117,none,Travis Mitchell Auctions ,unknown ,209 S Iternational Rd,Garland ,Garland,.79 AC,"20,000","2,580,000.00",9/1/2025,$129/sf
,118,N/A,Dallas Mirzaei,Orion Security Solutions,2424 Lacy LN,Carrollton,Valwood,0.55,"8,940","$1,689,000 ",9/8/2025,$188.92/SF
,119,-,MHM Redbird,M2G Ventures,4545-4687 Mint Way,Dallas,Redbird,6.85,"150,528","14,600,000",Jan-24,"Got 2 lease comps coming here, been looking for more info on investor basis in Redbird as we are targeting a building there. "
,120,7.5,Rimu Properties LLC,13840 Farmers Branch LLC,13840 Dencon Drive,Farmers Branch,Valwood,2,"24,924","$2,766,564 ($111/SF)",3/14/2025,Leased through April of next year.    In process of trying to sell it now.
,121,0,Grazier Enterprises,"JGM Holdings, LLC",1380 River Bend Drive Suite 166,Dallas,Stemmons,0,2242,"678,254.24",9/29/2025,
,122,NA,J Willis Sheet Metal,Dallas Rides,10917 Indian Trail,Dallas,Harry Hines,0.49,"7,014","$1,100,000.00 ",8/14/2025,$156.83/SF
,123,NA,NA,Lombardy Lane LLC (P1 Collision),2675 Lombardy Ln,Dallas,Harry Hines,0.27,"4,420","$725,000.00 ",9/17/2024,"$164/SF deal 13 months ago, declined an offer to sell at $1.3M or $294/SF last month"
,124,6%,BridgeView Real Estate,Sedberry & Associates,2251 E Division St.,Arlington,GSW,2.8,"59,772","$7,270,000 ",8/13/2025,
,125,N/A,Alliance Industrial Company- Developer,Mygrant Glass,1020 Crowley Drive,Carrollton,Valwood ,5.78,"88,233",$19.5M ($221 SF) Ask was $235/SF ($20.7 M),Sep-25,"Sold in Shell condition
Cushman Wakefield in Kansa City repped buyer, Cushman Wakefiel Local repped seller"
,126,n/a,"3000 Belmeade Holdings, LLC",HFL Capital LLC (Ray Waddell),3000 Belmeade Drive,Carrollton,Metro/Addison,4.86,"19,474","$6,995,000.00 ",1/28/2025,
,127,0,CCC Real Estate (Bank Owned Foreclosure),Mo Mustapha ,7010 Hwy 78,Sachse,Sacshe/Garland,1.57,"7,546","$1,600,000 ",10/22/2025,"BTS, $10.65/sf NNN, "
,128,TBD,Three Sisters Trust,Cantex Capital,1506 N I 35W Fwy,Denton,Denton,3.90 AC,"33,758 SF","$3,064,889 ",1-Aug-25,Sits on 3.902 acres. Longterm tenant (Siddons Martins Energy) paying $6.45 with bumps.
,129,N/A,Geraldmedies LLC,BioChroma,1420 Viceroy,Dallas,Brookhollow,3.01,"40,580","$3,256,028 ",9/1/2025,$76.47/SF
,130,N/A,Private Seller,KPak Packaging ,2364 Houton Street,Grand Prairie,Lower GSW,0.61,"16,200",$1.85 ( $115/SF),9.24.25,"Joe Burrows repped the seller. John Brewer Repped the buyer.
KPak has two other properties in the area"
,131,N/A Sold Vacant,David Dang (Private Investor),TDMH LLC (Private Investor),609 112th Street,Arlington Tx,Lower GSW,1 acre,"20,800",$2.6M ($125/sf),"August 29,2025","On the market for 5 months. Bought Vacant and new private investor has it on the market to lease $10 NNN
KW and Compass (Realtors did the deal)"
,132,n/a,TA Realty,BKM Capital Partners ,2701-2737 Market St ,Garland ,Garland ,21.72,"477,919",$54m ($115/sf),21-Aug-25,
,133,5%,Nucor,Ambient Capital,4700 Singelton Blvd,Dallas,Turnpike/Loop 12,4.76,45449,"$7,590,000 ",Oct-25,"Sale leaseback, 2-year start at $31k. Stabilize by year 3 "
,134,n/a,Salas Plumbing, Efficient-Tec International Llc,3709-3711 Cavalier Dr,Garland,Garland,1.64,"17,000 SF",$2.63m,23-Apr-25,
,135,5.83,Clay Development,Peachtree Industrial DST,545 Airport Drive,Mansfield,Mansfield,8.96,131040,"23,587,200",8/6/2025,"The property was developed as a BTS for Ferguson, whose lease commenced in 3/25 for 10 years including 3% annual rent increases and 2x5 year renewal options. The property was currently generating $1,376,700 in net operating income or a 5.83% CAP rate."
,136,User ,Harbor Capital ,Panel Rey Drywall Solutions ,3651 Shelby Lane,Denton ,Denton,3.78,60000,"$7,500,000 ",Aug-25,"Ask was $8.5M
Received information from appraiser"
,137,-,IGLESIA EVANGELICA EL DIVINO MAESTRO-CHURCH GROUP,United Fire Protection,1325 N Union Bower Rd,Irving,Union Bower,1,-,"$460,000 ",10/20/2025,Land deal bought by user to develop building on in the future. 
,138,N/A,John Links,Komplete Group,2364 Houston St.,Grand Prairie,GSW,0.61,"16,200 SF","1,850,000 ($114/SF)",9/24/2025,
,139,N/A,Reid Buildings Of Houston,Maestro Investing Group LLC,8901 Governors Row,Dallas,Brookhollow,1.07,"20,025","$2,803,500 ($140/SF)",10/27/2025,
,140,NA,183Macarthur LLC,AOD Ventures,1015 W Airport,Irving,Airport,5.3,45000,"5,150,000",10/22/2025,"Lease deal amounting to $1.6m leading into the sale (Lease to own), tenant did $1m+ in renovations on their own."
